Station name:,,,,,,
"Ikere Gorge Dam, Oyo",,,,Latitude (decimals):,8.1,
,,,,,,
Elevation (m):,,257,Wind speed height (m):,,2,
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
9/1/2012,20.6,29.1,1.47,7.933055556,11.05056,3.13
10/1/2012,21.6,30.2,1.21,9.192777778,14.7744,3.58
11/1/2012,21.4,32.8,1.29,9.505,16.85664,4.13
12/1/2012,19.7,34.4,1.37,10.13472222,16.81344,4.32
1/1/2013,20.6,34.1,1.58,10.08055556,17.02944,4.45
2/1/2013,21.9,36.4,1.53,9.990555556,17.80704,4.85
3/1/2013,23.3,36,1.88,9.866944444,17.97984,5.13
4/1/2013,22.3,33.3,1.79,9.92,16.8912,4.6
5/1/2013,21.6,32.2,1.63,9.865,18.86976,4.66
6/1/2013,21,30.5,1.76,9.733888889,18.02304,4.37
7/1/2013,20.7,28.7,1.43,8.911944444,13.36608,3.35
8/1/2013,20.2,27.5,1.71,8.243611111,12.97728,3.31
9/1/2013,21,29.6,1.55,7.945277778,11.56032,3.28
10/1/2013,20.7,30.8,1.22,9.236388889,16.00128,3.84
11/1/2013,20.6,33.6,1.35,9.529722222,16.57152,4.24
12/1/2013,19.9,33.9,1.37,9.933888889,16.19136,4.18
1/1/2014,21.1,34.8,1.41,9.715555556,15.78528,4.22
2/1/2014,21.9,35.3,1.5,9.922222222,17.40096,4.63
3/1/2014,22.6,35.5,1.66,9.648055556,17.41824,4.84
4/1/2014,22.8,33.9,1.93,9.704166667,17.05536,4.77
5/1/2014,22,32,1.48,9.766944444,18.39456,4.47
6/1/2014,21.5,31.1,1.44,9.578611111,16.87392,4.11
7/1/2014,21.4,29.2,1.48,9.1825,14.10912,3.51
8/1/2014,20.7,27.2,1.67,8.592222222,12.26016,3.14
9/1/2014,21.1,28.8,1.38,8.8525,12.2256,3.19
10/1/2014,21.3,30.6,1.23,9.31,15.71616,3.78
11/1/2014,21.6,32.8,1.3,9.328611111,16.05312,4.02
12/1/2014,20.1,33.5,1.34,10.2375,17.00352,4.21
1/1/2015,19.1,32.8,1.71,10.0575,17.90208,4.53
2/1/2015,22.2,36.2,1.56,9.307777778,15.70752,4.55
3/1/2015,23,35,1.71,9.753611111,17.96256,4.87
4/1/2015,22.1,34.8,2,10.03611111,20.91744,5.56
5/1/2015,22.4,34.1,1.76,9.809166667,19.6992,5.1
6/1/2015,21.8,31.1,1.77,9.649444444,16.77888,4.25
7/1/2015,21.1,29.4,1.47,9.302222222,13.72032,3.48
8/1/2015,21.1,27.9,1.57,7.098888889,9.83232,2.83
9/1/2015,21.5,29.2,1.5,7.962222222,11.56896,3.18
10/1/2015,21.8,30.4,1.24,9.258055556,15.552,3.73
11/1/2015,21.3,33.1,1.4,9.986111111,17.85888,4.38
12/1/2015,20,31.9,1.85,10.49444444,18.58464,4.56
1/1/2016,20.4,33.9,1.69,10.41,18.61056,4.72
2/1/2016,21.7,36.1,1.56,10.18944444,18.6624,4.97
3/1/2016,23.5,35.5,1.67,9.670555556,16.61472,4.7
4/1/2016,23.2,34.2,1.99,10.1425,18.84384,5.1
5/1/2016,22.2,33.1,1.72,9.432222222,18.04896,4.7
6/1/2016,21.3,30.2,1.75,9.240833333,15.23232,3.93
7/1/2016,21.1,28.9,1.57,8.456666667,11.90592,3.22
8/1/2016,21,28.2,1.6,8.555833333,12.50208,3.25
9/1/2016,21.1,29.3,1.43,8.91,12.45024,3.3
10/1/2016,21.4,31.3,1.26,9.258055556,17.18496,4.07
11/1/2016,21.5,33.6,1.42,9.931388889,18.34272,4.51
12/1/2016,20.9,34.6,1.35,10.08694444,16.94304,4.32
1/1/2017,20.3,34.1,1.44,10.0775,17.064,4.35
2/1/2017,22,35.7,1.57,10.10888889,18.54144,4.9
