Station name:,,,,,,
Iwo Project,,,,,Latitude (decimals):,7.8
,,,,,,
Elevation (m):,,306,,Wind speed height (m):,,2
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
1/1/2012,20,33,1.46,10.10861111,16.6908,4.2
2/1/2012,21.8,34.2,1.64,9.415277778,14.9604,4.26
3/1/2012,22.8,35,1.49,9.909444444,18.732,4.85
4/1/2012,22.9,33,1.78,9.746388889,17.01,4.54
5/1/2012,22,31.2,1.59,9.990833333,17.514,4.3
6/1/2012,21.7,29.9,1.5,9.531388889,14.9856,3.72
7/1/2012,21.3,28.1,1.59,9.002222222,11.802,3.11
8/1/2012,21,27.4,1.54,8.377777778,11.508,3
9/1/2012,21.3,29.1,1.38,8.068888889,10.1892,2.92
10/1/2012,22.5,29.9,1.2,9.066944444,13.9356,3.4
11/1/2012,22.2,32.4,1.11,9.463888889,15.7164,3.8
12/1/2012,20.1,34.2,1.22,10.04694444,16.254,4.09
1/1/2013,21.3,33.4,1.47,10.0125,16.1784,4.15
2/1/2013,22.5,35.8,1.65,10.00694444,17.1276,4.76
3/1/2013,23.8,35.4,1.77,9.890833333,17.4132,4.86
4/1/2013,22.6,32.9,1.66,9.747222222,16.1868,4.35
5/1/2013,21.8,32,1.52,9.792777778,17.976,4.44
6/1/2013,21.7,30.2,1.69,9.639444444,16.6572,4.08
7/1/2013,21.2,28.8,1.47,8.88,11.97,3.17
8/1/2013,20.7,27.7,1.68,8.294722222,12.2976,3.21
9/1/2013,21.6,29.5,1.48,8.015277778,10.7352,3.08
10/1/2013,21.6,30.5,1.25,9.102777778,14.9268,3.66
11/1/2013,21.4,33.1,1.19,9.533888889,15.5568,3.91
12/1/2013,20.4,33.5,1.3,9.898333333,15.5652,3.99
1/1/2014,21.7,34.1,1.37,9.738333333,15.0444,4
2/1/2014,22.4,34.7,1.56,9.892777778,16.6068,4.47
3/1/2014,23.3,35,1.55,9.725555556,16.716,4.57
4/1/2014,23,33.5,1.73,9.7325,16.4472,4.49
5/1/2014,22.2,32,1.36,9.813888889,17.808,4.32
6/1/2014,22.1,30.8,1.35,9.456388889,15.5568,3.82
7/1/2014,21.8,29.3,1.52,9.051111111,12.4824,3.29
8/1/2014,21.4,27.3,1.65,8.379722222,11.0208,2.93
9/1/2014,21.9,28.7,1.29,8.869166667,11.3232,2.98
10/1/2014,22.2,30.3,1.23,9.230277778,14.7,3.58
11/1/2014,22.5,32.2,1.16,9.395,15.1956,3.73
12/1/2014,20.8,33.1,1.25,10.14277778,16.4724,4.02
1/1/2015,19.6,32.1,1.68,10.0625,17.43,4.35
2/1/2015,22.8,35.5,1.67,9.387777778,14.9016,4.4
3/1/2015,23.4,34.5,1.59,9.892777778,17.472,4.64
4/1/2015,22.3,34.4,1.82,10.03805556,20.2608,5.28
5/1/2015,22.6,34,1.66,9.881666667,18.9756,4.91
6/1/2015,22.5,30.8,1.69,9.643611111,15.54,3.96
7/1/2015,21.5,29.5,1.52,9.233333333,12.8268,3.38
8/1/2015,21.6,28,1.56,7.3975,9.2736,2.73
9/1/2015,22.1,29.1,1.44,8.054166667,10.962,3.02
10/1/2015,22.6,30.1,1.22,9.226388889,14.784,3.56
11/1/2015,22.2,32.8,1.15,9.868055556,16.9932,4.05
12/1/2015,20.7,31.7,1.77,10.48611111,18.4212,4.44
1/1/2016,20.9,33.3,1.62,10.37166667,18.228,4.53
2/1/2016,22.1,35.6,1.66,10.18194444,18.2868,4.92
3/1/2016,24,35,1.53,9.695555556,16.3044,4.47
4/1/2016,23.5,33.8,1.78,10.18888889,18.6564,4.88
5/1/2016,22.4,32.9,1.6,9.430277778,17.4468,4.5
6/1/2016,22,30,1.68,9.325555556,14.2464,3.69
7/1/2016,21.5,29.1,1.65,8.734444444,11.3148,3.18
8/1/2016,21.4,28.3,1.62,8.621111111,11.5164,3.11
9/1/2016,21.7,29.3,1.36,8.924444444,11.8692,3.16
10/1/2016,22.2,31,1.22,9.323333333,16.3548,3.89
11/1/2016,22.3,33.3,1.21,9.895833333,17.682,4.24
12/1/2016,21.4,34.4,1.22,10.03,16.548,4.13
1/1/2017,20.9,33.5,1.38,10.03638889,16.4892,4.15
2/1/2017,22.5,35.1,1.63,10.04222222,17.9676,4.77
