Station name:,,,,,,
Iwo Project,,,,,Latitude (decimals):,7.8
,,,,,,
Elevation (m):,,306,,Wind speed height (m):,,2
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
9/1/1986,21.5,28.5,1.41,7.763611111,11.466,3.05
10/1/1986,21.6,29.9,1.12,9.256388889,15.2376,3.58
11/1/1986,21.4,31.1,1.03,9.579166667,15.876,3.66
12/1/1986,18.5,33,1.32,10.34222222,17.598,4.25
1/1/1987,21.4,33.2,1.15,9.9,16.4892,3.94
2/1/1987,22.7,34.7,1.48,9.587222222,15.6324,4.27
3/1/1987,23.3,34.3,1.49,9.800833333,17.178,4.51
4/1/1987,24.3,35,1.75,9.983888889,20.202,5.25
5/1/1987,22.7,33.5,1.98,9.750277778,18.2448,4.91
6/1/1987,22.6,31,1.5,9.3275,14.784,3.78
7/1/1987,22,30,1.41,8.913055556,12.2472,3.27
8/1/1987,22.2,29.3,1.66,8.138055556,9.8112,2.96
9/1/1987,22,29.9,1.23,8.831944444,12.2472,3.2
10/1/1987,22.1,30.8,1.13,9.078888889,15.204,3.65
11/1/1987,22,33.5,1.06,9.740555556,17.7492,4.17
12/1/1987,20,33.6,1.16,10.19027778,16.7748,4.05
1/1/1988,21.2,32.5,1.36,10.05277778,16.6488,4.04
2/1/1988,22.9,34.7,1.51,9.723055556,16.1028,4.35
3/1/1988,23.9,34.3,1.42,9.753888889,17.2956,4.47
4/1/1988,23.1,33.3,1.77,9.736666667,16.7664,4.53
5/1/1988,23.1,32.1,1.74,9.691666667,17.6736,4.48
6/1/1988,22,29.7,1.54,9.155,13.6416,3.51
7/1/1988,21.6,28.2,1.8,8.055,10.5924,3.02
8/1/1988,21,27.8,1.79,7.455833333,10.2816,2.97
9/1/1988,21.7,29.3,1.47,8.1375,11.2728,3.12
10/1/1988,22,31.1,1.07,9.435,16.8168,3.89
11/1/1988,22,32.5,1.09,9.687777778,17.0016,3.98
12/1/1988,19.9,32,1.17,9.9175,15.582,3.74
1/1/1989,17.3,32.9,1.78,10.45888889,19.0764,4.81
2/1/1989,20.5,34.6,1.81,10.32611111,19.5384,5.11
3/1/1989,22.6,34.4,1.59,9.759444444,17.3376,4.63
