Station name:,,,,,,
Mokoliki,,,,,Latitude (decimals):,6.8
,,,,,,
Elevation (m):,,14,,Wind speed height (m):,,2
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
9/1/1986,22.8,28.6,1.57,8.015,13.05504,3.28
10/1/1986,22.8,29.7,1.32,9.530555556,16.26912,3.77
11/1/1986,23.1,31,0.97,9.646388889,16.77888,3.75
12/1/1986,21.5,32.2,1.11,10.15722222,18.15264,4.07
1/1/1987,23.6,32.8,1.33,9.736944444,16.62336,4.02
2/1/1987,24.9,33.4,1.67,9.871111111,15.984,4.2
3/1/1987,25,33,1.41,10.03694444,18.37728,4.46
4/1/1987,25.7,34.1,1.58,10.38611111,20.952,5.12
5/1/1987,24.3,32.8,1.99,10.215,18.36,4.74
6/1/1987,23.3,30.9,1.54,9.848888889,15.5952,3.87
7/1/1987,23.2,30.1,1.39,9.094444444,13.0032,3.32
8/1/1987,23.6,29.3,1.58,8.371388889,10.57536,2.95
9/1/1987,23.5,29.9,1.28,9.165277778,12.90816,3.26
10/1/1987,23.5,30.7,0.99,9.526666667,16.40736,3.74
11/1/1987,24,33.1,1.03,10.19583333,18.46368,4.23
12/1/1987,22.9,32.7,1.11,10.32611111,17.29728,3.99
1/1/1988,23.1,32.5,1.46,10.13388889,17.29728,4.17
2/1/1988,24.9,33.4,1.57,9.993055556,16.73568,4.27
3/1/1988,25.5,33.1,1.44,10.11,18.4032,4.48
4/1/1988,24.5,32.7,1.5,10.12777778,18.09216,4.46
5/1/1988,24.6,31.5,1.66,10.29833333,18.5328,4.43
6/1/1988,22.8,29.7,1.52,9.389166667,13.91904,3.49
7/1/1988,22.7,28.4,1.94,8.230833333,11.72448,3.17
8/1/1988,22.1,28.1,1.95,8.062222222,12.34656,3.27
9/1/1988,23.1,29.3,1.55,7.995,12.07008,3.2
10/1/1988,23.4,31,0.98,9.703888889,17.73792,3.96
11/1/1988,23.8,32.2,1.14,10.05555556,17.6256,4.07
12/1/1988,22.7,31.4,1.05,10.03388889,15.768,3.62
1/1/1989,19.6,32.5,1.26,10.2375,20.1744,4.47
2/1/1989,23,33.2,1.58,10.37166667,20.71872,4.88
3/1/1989,24.6,32.9,1.56,10.16444444,18.15264,4.49
4/1/1989,24.7,32.4,1.83,10.26722222,19.10304,4.72
5/1/1989,24,31.1,1.52,10.23805556,18.1008,4.27
