Station name:,,,,,,
Mokoliki,,,,,Latitude (decimals):,6.8
,,,,,,
Elevation (m):,,14,,Wind speed height (m):,,2
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
6/1/2012,22.3,29.9,1.41,9.566111111,14.688,3.6
7/1/2012,22.4,28.4,1.86,9.553888889,13.05504,3.35
8/1/2012,22.1,27.8,1.86,8.526944444,13.05504,3.3
9/1/2012,22.5,29.2,1.55,8.353611111,11.88864,3.19
10/1/2012,23.7,29.8,1.04,9.279722222,15.2064,3.49
11/1/2012,24.1,31.9,1.14,9.776944444,16.42464,3.85
12/1/2012,23,33.3,1.21,10.20333333,16.55424,4.01
1/1/2013,23.6,32.9,1.47,10.03638889,17.13312,4.19
2/1/2013,24.7,34.5,1.74,9.994722222,18.03168,4.71
3/1/2013,25.4,33.8,1.81,10.21222222,18.86112,4.82
4/1/2013,24.1,32.3,1.5,10.00972222,18.10944,4.43
5/1/2013,23.3,31.5,1.5,9.774444444,18.39456,4.38
6/1/2013,22.6,30.1,1.74,9.996388889,16.70112,4.04
7/1/2013,22.3,28.8,1.68,8.740555556,12.41568,3.25
8/1/2013,21.9,28,1.91,8.774166667,13.92768,3.47
9/1/2013,22.9,29.7,1.74,8.324722222,11.86272,3.31
10/1/2013,22.9,30.4,1.26,9.024722222,16.01856,3.78
11/1/2013,23.4,32.6,1.31,9.759722222,15.90624,3.95
12/1/2013,23.4,32.8,1.37,9.994166667,15.8976,3.95
1/1/2014,23.8,33.5,1.46,9.861388889,15.35328,3.99
2/1/2014,24.5,33.3,1.61,9.948611111,17.27136,4.37
3/1/2014,25,33.5,1.61,10.17,17.928,4.55
4/1/2014,24.3,32.9,1.47,10.12444444,18.55872,4.55
5/1/2014,23.9,31.7,1.31,10.10138889,18.51552,4.32
6/1/2014,22.9,30.7,1.21,9.373333333,14.79168,3.59
7/1/2014,23,29.4,1.72,8.714166667,12.64896,3.34
8/1/2014,22.6,27.6,1.87,8.337777778,12.00096,3.1
9/1/2014,23.3,28.9,1.46,9.342222222,12.38976,3.15
10/1/2014,23.5,30.1,1.34,9.452777778,15.96672,3.76
11/1/2014,24.3,31.7,1.24,9.561388889,15.95808,3.81
12/1/2014,23.7,32.4,1.24,10.15944444,16.7184,3.95
1/1/2015,21.9,32,1.64,10.11416667,18.37728,4.38
2/1/2015,24.8,33.9,1.84,9.673055556,15.19776,4.25
3/1/2015,25,33.5,1.44,10.08305556,18.576,4.56
4/1/2015,23.8,34.1,1.54,10.17027778,21.09024,5.15
5/1/2015,24,33.5,1.74,10.05638889,19.47456,4.91
6/1/2015,23.1,30.6,1.89,9.688055556,15.18048,3.93
7/1/2015,22.7,29.7,1.76,9.120555556,14.13504,3.62
8/1/2015,22.9,28.4,1.74,7.709722222,10.96416,2.99
9/1/2015,23.4,29.3,1.72,7.5625,11.29248,3.13
10/1/2015,23.9,30.1,1.09,9.605833333,16.04448,3.66
11/1/2015,24,32.6,0.96,10.12222222,17.74656,4.03
12/1/2015,23.6,31.1,1.4,10.47694444,19.45728,4.28
1/1/2016,23,33.1,1.5,10.13361111,19.1376,4.52
2/1/2016,24.6,34.3,1.85,10.08055556,19.20672,4.93
3/1/2016,25.5,33.8,1.52,9.735555556,17.31456,4.43
4/1/2016,24.8,33.1,1.63,10.47166667,20.06208,4.88
5/1/2016,23.9,32.2,1.79,9.906111111,18.12672,4.54
6/1/2016,22.7,29.9,1.86,9.316666667,14.41152,3.73
7/1/2016,22.7,29.2,1.93,8.8875,11.94048,3.31
8/1/2016,22.5,28.7,1.74,8.469444444,12.76128,3.31
9/1/2016,23.1,29.4,1.5,9.347777778,12.82176,3.3
10/1/2016,23.5,30.9,0.89,9.900277778,17.6688,3.9
11/1/2016,24.2,33.1,1.16,10.22694444,18.55872,4.31
12/1/2016,24.2,33.7,1.05,10.05777778,16.9344,3.99
1/1/2017,23,33.2,1.45,9.955833333,17.34912,4.25
2/1/2017,24.5,33.7,1.53,9.868611111,18.35136,4.54
