Station name:,,,,,,
Oyan Dam Site,,,,,Latitude (decimals):,7.4
,,,,,,
Elevation (m):,,174,,Wind speed height (m):,,2
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
5/1/2012,23.1,31.5,1.48,9.983888889,18.64512,4.42
6/1/2012,22,30.5,1.37,9.473333333,15.06816,3.72
7/1/2012,22,28.8,1.63,9.093888889,12.93408,3.32
8/1/2012,21.7,28.2,1.58,8.506388889,12.86496,3.25
9/1/2012,22.1,29.7,1.35,8.102777778,11.68128,3.15
10/1/2012,23.2,30.5,1,9.042222222,15.25824,3.55
11/1/2012,23.6,32.8,1.08,9.455833333,16.79616,3.97
12/1/2012,22.5,34.4,1.06,10.01138889,16.70976,4.03
1/1/2013,23.2,34.3,1.35,9.979166667,17.52192,4.33
2/1/2013,24.2,35.8,1.61,10.0025,18.60192,4.9
3/1/2013,24.9,35,1.66,9.963333333,19.36224,5
4/1/2013,23.7,33.2,1.59,9.645277778,18.29088,4.63
5/1/2013,22.9,32.1,1.39,9.812777778,18.99936,4.5
6/1/2013,22.3,30.7,1.61,9.688055556,17.1072,4.14
7/1/2013,21.9,29.3,1.51,8.83,12.70944,3.31
8/1/2013,21.5,28.3,1.68,8.359166667,13.74624,3.44
9/1/2013,22.5,30.2,1.5,8.003611111,11.81088,3.28
10/1/2013,22.4,31.1,1.12,9.066111111,16.13952,3.81
11/1/2013,23,33.5,1.17,9.54,16.3296,4.03
12/1/2013,22.9,33.9,1.16,9.873611111,16.06176,3.96
1/1/2014,23.6,34.9,1.27,9.697222222,15.8112,4.08
2/1/2014,24,34.6,1.49,9.871944444,17.90208,4.57
3/1/2014,24.4,34.7,1.48,9.821944444,18.5328,4.74
4/1/2014,23.9,33.7,1.58,9.898055556,18.61056,4.73
5/1/2014,23.6,32.3,1.23,9.848888889,18.88704,4.42
6/1/2014,22.6,31.3,1.2,9.33,15.40512,3.75
7/1/2014,22.7,29.9,1.56,8.966111111,13.03776,3.41
8/1/2014,22.2,28,1.64,8.128055556,12.16512,3.13
9/1/2014,22.8,29.4,1.26,8.94,12.42432,3.16
10/1/2014,22.9,30.7,1.16,9.201388889,16.10496,3.78
11/1/2014,23.8,32.6,1.13,9.395555556,16.19136,3.89
12/1/2014,23.2,33.5,1.08,10.09,16.848,3.98
1/1/2015,21.6,33.3,1.51,10.04861111,18.62784,4.5
2/1/2015,24.3,35.2,1.68,9.458333333,15.88896,4.46
3/1/2015,24.6,34.6,1.42,9.962222222,19.0512,4.77
4/1/2015,23.4,34.9,1.64,10.06083333,21.43584,5.38
5/1/2015,23.7,34.1,1.55,9.883888889,19.99296,4.98
6/1/2015,22.9,31.3,1.65,9.593055556,15.58656,4
7/1/2015,22.3,30.1,1.55,9.163611111,14.16096,3.61
8/1/2015,22.5,28.8,1.54,7.455,10.60128,2.94
9/1/2015,22.9,29.8,1.45,7.994444444,11.3616,3.12
10/1/2015,23.4,30.7,1.01,9.205833333,15.97536,3.68
11/1/2015,23.5,33.3,0.98,9.843888889,18.02304,4.15
12/1/2015,23.1,32.2,1.42,10.48611111,19.3536,4.4
1/1/2016,22.7,34.4,1.42,10.28777778,19.37952,4.66
2/1/2016,24,35.7,1.66,10.12611111,19.68192,5.09
3/1/2016,25,35,1.41,9.677777778,17.66016,4.58
4/1/2016,24.4,34,1.66,10.23694444,20.07072,5.03
5/1/2016,23.6,33,1.55,9.494444444,18.50688,4.61
6/1/2016,22.4,30.5,1.67,9.339722222,14.5152,3.77
7/1/2016,22.4,29.6,1.7,8.798888889,11.93184,3.29
8/1/2016,22.2,29.1,1.55,8.666944444,12.7008,3.3
9/1/2016,22.6,29.9,1.32,8.919166667,12.79584,3.3
10/1/2016,22.9,31.6,0.92,9.355555556,17.59104,3.97
11/1/2016,23.7,33.8,1.1,9.933888889,18.7488,4.37
12/1/2016,23.7,34.8,0.98,9.971111111,16.9776,4.04
1/1/2017,22.6,34.5,1.27,9.973333333,17.6688,4.32
2/1/2017,23.9,35,1.5,9.9175,18.94752,4.95
