Station name:,,,,,,
Sepeteri,,,,,Latitude (decimals):,8.8
,,,,,,
Elevation (m): 391,,,,Wind speed height (m): 2,,
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
10/1/2012,21.2,30.5,1.35,9.308055556,15.203184,3.75
11/1/2012,20.7,33.2,1.51,9.688055556,17.477608,4.41
12/1/2012,18.9,34.6,1.82,10.20166667,17.071152,4.77
1/1/2013,19.9,34.5,2.2,10.14277778,17.391128,5.04
2/1/2013,21.3,36.8,1.85,10.08611111,18.63644,5.3
3/1/2013,22.9,36.4,2.22,10.00583333,19.0256,5.6
4/1/2013,22.2,33.6,1.87,10.08305556,17.590032,4.8
5/1/2013,21.5,32.5,1.7,10.09916667,19.682848,4.87
6/1/2013,20.7,30.7,1.86,9.8675,18.965064,4.6
7/1/2013,20.5,28.8,1.49,9.376388889,14.200016,3.52
8/1/2013,20.2,27.6,1.71,8.3875,13.119016,3.35
9/1/2013,20.7,29.5,1.53,8.143055556,12.081256,3.34
10/1/2013,20.3,31.2,1.35,9.418611111,16.612808,4.06
11/1/2013,19.8,34,1.57,9.7425,17.200872,4.55
12/1/2013,19,34.1,1.79,10.09638889,16.534976,4.6
1/1/2014,20.4,35.2,2,9.845,16.379312,4.84
2/1/2014,21.3,35.6,1.87,10.05472222,18.385648,5.1
3/1/2014,22.3,35.9,1.99,9.801111111,18.731568,5.34
4/1/2014,22.7,34.4,2.11,9.877222222,17.667864,5.06
5/1/2014,21.9,32.2,1.55,9.8675,19.042896,4.64
6/1/2014,21.2,31.2,1.56,9.840833333,18.013784,4.36
7/1/2014,21.3,29.2,1.54,9.364722222,15.168592,3.7
8/1/2014,20.7,27.4,1.69,8.664166667,12.963352,3.27
9/1/2014,20.7,28.8,1.39,8.946666667,12.721208,3.28
10/1/2014,20.8,31,1.36,9.348333333,16.197704,3.97
11/1/2014,20.8,33.1,1.5,9.590833333,16.509032,4.26
12/1/2014,19.2,33.7,1.76,10.30944444,17.261408,4.6
1/1/2015,18.5,33.2,2.31,10.16277778,18.082968,5.06
2/1/2015,21.7,36.5,1.88,9.625833333,16.915488,5.03
3/1/2015,22.6,35.3,2.04,9.825555556,19.094784,5.32
4/1/2015,22.1,35.1,2.2,10.13,21.801608,5.86
5/1/2015,22.4,34.4,1.87,10.08694444,20.49576,5.33
6/1/2015,21.5,31.4,1.9,9.8325,17.840824,4.53
7/1/2015,21,29.5,1.54,9.311666667,14.053,3.59
8/1/2015,21,28,1.55,7.491666667,10.092216,2.88
9/1/2015,21.2,29.2,1.49,8.353055556,12.202328,3.28
10/1/2015,21.4,30.6,1.41,9.320277778,15.895024,3.89
11/1/2015,20.6,33.4,1.69,10.08,18.273224,4.68
12/1/2015,19.2,32.1,2.28,10.49444444,18.299168,4.84
1/1/2016,19.8,34.2,2.31,10.42444444,18.645088,5.22
2/1/2016,21.1,36.4,1.91,10.25611111,19.276392,5.39
3/1/2016,23.1,35.7,2.04,9.900555556,17.797584,5.17
4/1/2016,23.2,34.5,2.18,10.18194444,19.336928,5.33
5/1/2016,22.2,33.3,1.82,9.882222222,18.792104,4.9
6/1/2016,21.1,30.4,1.84,9.324722222,16.076632,4.13
7/1/2016,21,28.9,1.61,8.758055556,12.271512,3.3
8/1/2016,20.8,28.2,1.59,8.948611111,12.997944,3.33
9/1/2016,20.7,29.2,1.42,8.895,12.824984,3.36
10/1/2016,21.1,31.6,1.45,9.320555556,17.624624,4.28
11/1/2016,20.7,34,1.7,10.09972222,18.5932,4.8
12/1/2016,20.1,34.8,1.8,10.15861111,17.097096,4.73
1/1/2017,19.5,34.3,2.04,10.22583333,17.347888,4.9
2/1/2017,21.5,35.9,1.94,10.19333333,19.466648,5.34
