Station name:,,,,,,
Sepeteri,,,,,Latitude (decimals):,8.8
,,,,,,
Elevation (m): 391,,,,Wind speed height (m): 2,,
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
9/1/1986,20.3,28.5,1.44,7.945555556,12.470416,3.26
10/1/1986,20.4,30.6,1.29,9.419444444,16.586864,3.95
11/1/1986,19.8,31.7,1.5,9.734722222,16.77712,4.16
12/1/1986,17.1,33.2,1.96,10.41361111,17.970544,4.86
1/1/1987,20,34.6,1.88,10.0975,17.719752,4.84
2/1/1987,21.7,35.8,1.77,9.666388889,17.754344,4.95
3/1/1987,22.4,35.1,1.94,9.744166667,18.584552,5.15
4/1/1987,23.8,35.7,2.25,10.07888889,21.914032,5.94
5/1/1987,22.4,34,2.14,9.746666667,19.855808,5.34
6/1/1987,21.5,31.3,1.64,9.102777778,15.791248,4.09
7/1/1987,21.5,30,1.44,9.009722222,13.96652,3.57
8/1/1987,21.4,29.2,1.66,8.481111111,11.614264,3.26
9/1/1987,21.2,30,1.32,8.849722222,13.603304,3.49
10/1/1987,20.8,31.5,1.32,9.395555556,16.500384,4.04
11/1/1987,20.2,34.1,1.52,10.03222222,18.887232,4.74
12/1/1987,18.6,34,1.71,10.19694444,17.200872,4.62
1/1/1988,20.1,33.4,2.12,10.14222222,17.494904,4.8
2/1/1988,21.7,35.7,1.85,9.821944444,17.788936,5.01
3/1/1988,23.2,35.4,1.98,9.817777778,19.042896,5.26
4/1/1988,22.7,34.1,2.17,9.729166667,17.849472,5.07
5/1/1988,22.9,32.9,1.98,9.659166667,19.0256,4.93
6/1/1988,21,30.2,1.84,9.091666667,14.87456,3.94
7/1/1988,20.9,28.2,1.85,7.924722222,11.58832,3.23
8/1/1988,20.3,27.7,1.84,6.925277778,10.299768,3.04
9/1/1988,20.7,29.3,1.49,8.096666667,12.210976,3.32
10/1/1988,20.7,31.9,1.33,9.650833333,18.601848,4.39
11/1/1988,20.3,33.4,1.47,9.849722222,18.091616,4.5
12/1/1988,18.6,32.6,1.7,10.06083333,16.751176,4.36
1/1/1989,16.5,33.7,2.86,10.49916667,19.19856,5.83
2/1/1989,19.3,35.2,2.41,10.34388889,20.002824,5.77
3/1/1989,21.4,35.1,2,9.83,18.956416,5.29
4/1/1989,22.7,34.4,2.3,9.968888889,20.072008,5.52
5/1/1989,22,32.6,1.83,9.7475,18.835344,4.82
6/1/1989,21,30.4,1.64,9.795,17.25276,4.2
7/1/1989,20.4,28.5,1.66,8.609722222,12.790392,3.38
8/1/1989,20.4,28.4,1.7,8.0075,11.251048,3.19
9/1/1989,20.5,29.1,1.35,8.686111111,12.790392,3.32
10/1/1989,20,30.9,1.35,9.201111111,16.794416,4.06
11/1/1989,19.7,33.9,1.7,10.13444444,18.818048,4.85
12/1/1989,18.7,33.4,1.58,10.08916667,16.51768,4.35
1/1/1990,20.5,33.7,2.07,9.880555556,16.984672,4.73
2/1/1990,20.1,35.6,2.05,10.115,19.207208,5.41
3/1/1990,21.9,37,1.88,10.34916667,22.424264,5.98
4/1/1990,22.6,34.3,2.37,10.00166667,18.645088,5.34
5/1/1990,22,32.6,2.01,9.318888889,16.8636,4.63
6/1/1990,21.4,31.2,1.88,9.184722222,15.73936,4.2
7/1/1990,20.9,27.9,1.86,8.255833333,11.190512,3.14
8/1/1990,21.1,28.3,1.44,7.457222222,10.72352,2.95
9/1/1990,20.3,29.5,1.44,8.2875,12.946056,3.44
10/1/1990,20.9,31.5,1.49,9.114166667,16.362016,4.12
11/1/1990,21.3,33.5,1.67,9.445833333,16.673344,4.44
12/1/1990,20.2,33.5,1.79,9.433888889,14.857264,4.25
1/1/1991,19.8,33.5,2.04,9.855277778,16.924136,4.7
2/1/1991,21.2,35.3,2.16,9.388333333,15.557752,4.91
3/1/1991,22.6,34.5,2.17,9.776944444,18.24728,5.15
4/1/1991,21.9,32.6,2.32,9.706111111,17.572736,4.91
5/1/1991,21.6,31.3,2.07,9.145277778,15.09076,4.23
6/1/1991,20.6,30.5,1.73,8.976944444,15.030224,3.97
7/1/1991,20.3,27.7,1.88,8.280555556,11.173216,3.16
8/1/1991,20.2,26.9,2.07,8.216111111,11.121328,3.13
9/1/1991,20.1,29.1,1.41,8.938333333,13.551416,3.47
10/1/1991,19.2,29.7,1.54,8.781666667,15.030224,3.81
11/1/1991,19.3,32.1,1.71,9.711944444,17.745696,4.49
12/1/1991,17.6,32.8,1.87,10.19444444,17.062504,4.6
1/1/1992,17.4,32.9,2.58,10.42333333,18.498072,5.31
2/1/1992,19.8,35.8,2.15,10.33777778,19.8904,5.63
3/1/1992,22.5,35.4,2.39,9.958888889,19.492592,5.63
4/1/1992,23,34.2,2.31,9.660833333,18.76616,5.28
5/1/1992,21.3,31.6,1.96,9.564722222,16.742528,4.47
6/1/1992,20.2,29.9,2.02,8.85,14.545936,3.99
7/1/1992,19.9,27.5,2.02,7.385555556,9.763592,3.03
8/1/1992,19.7,26.9,2.01,8.207222222,11.259696,3.16
9/1/1992,19.6,27.8,1.51,8.407777778,12.133144,3.2
10/1/1992,19.5,30.6,1.47,9.258333333,15.929616,3.99
11/1/1992,18.5,31.9,1.83,9.963055556,17.64192,4.56
12/1/1992,18.2,34.3,1.73,10.14166667,16.958728,4.66
1/1/1993,17.3,33.1,2.5,10.375,18.515368,5.3
2/1/1993,19.7,36,2.27,9.879166667,18.229984,5.56
3/1/1993,20.6,34.3,2.16,9.6675,18.325112,5.23
4/1/1993,21.8,34.4,2.4,9.973333333,19.345576,5.53
5/1/1993,21.3,32.4,2.17,9.565833333,17.373832,4.8
6/1/1993,20.6,30.3,1.78,9.521944444,16.872248,4.22
7/1/1993,19.9,28,1.64,7.429444444,10.98296,3.09
8/1/1993,20,27.8,1.73,8.058333333,12.012072,3.25
9/1/1993,19.6,29,1.41,8.328055556,12.314752,3.31
10/1/1993,19.8,31.2,1.37,9.2675,15.895024,3.98
11/1/1993,19.5,33.6,1.53,9.485277778,16.586864,4.4
12/1/1993,18.3,33.4,1.81,10.14777778,16.534976,4.55
1/1/1994,19.1,33.1,2.19,9.935833333,17.010616,4.8
2/1/1994,20.8,35.1,1.94,10.10833333,19.163968,5.21
3/1/1994,22.3,35.4,2.24,9.709722222,19.146672,5.49
4/1/1994,22.2,33.1,2.38,9.996944444,18.402944,5.12
5/1/1994,21.4,32,1.84,10.06722222,18.947768,4.77
6/1/1994,20.1,30.3,1.87,9.321666667,15.453976,4.1
7/1/1994,20.1,27.8,2.1,8.540555556,12.210976,3.41
8/1/1994,20.3,27,2.07,6.298888889,9.46956,2.92
9/1/1994,20,28.6,1.75,8.166666667,11.640208,3.32
10/1/1994,19.6,29.8,1.32,8.665277778,13.14496,3.43
11/1/1994,18.6,32.5,1.7,10.19166667,18.541312,4.66
12/1/1994,18.1,31.8,2.22,10.4675,18.229984,4.8
1/1/1995,17.5,34.1,2.1,10.32027778,17.935952,5.09
2/1/1995,19.8,35.5,1.91,10.02527778,18.134856,5.15
3/1/1995,21.9,34.9,2.11,9.565833333,17.745696,5.14
4/1/1995,22.3,33.5,2.25,9.4825,17.590032,5
5/1/1995,21.3,32.2,1.75,9.483888889,18.091616,4.63
6/1/1995,20.6,30.5,1.89,8.946944444,15.7826,4.15
7/1/1995,20.5,28.2,1.86,8.343333333,12.133144,3.33
