Station name:,,,,,,
Igbojaiye,,,,Latitude (decimals):,3.3,
,,,,,,
Elevation (m):,,256,Wind speed height (m):,,2,
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
5/1/2012,21.7,31.5,1.71,10.22194444,19.25856,4.63
6/1/2012,20.7,30.4,1.57,9.611666667,16.57152,4.02
7/1/2012,20.7,28.1,1.57,9.055277778,12.8736,3.24
8/1/2012,20.3,27.5,1.58,8.561666667,12.6144,3.18
9/1/2012,20.4,29.2,1.43,7.953611111,11.60352,3.2
10/1/2012,21.5,30.5,1.35,9.346388889,15.50016,3.81
11/1/2012,21.4,33.2,1.3,9.63,17.31456,4.3
12/1/2012,20.1,34.4,1.63,10.22388889,16.9776,4.64
1/1/2013,20.7,34.6,2.17,10.14972222,17.712,5.14
2/1/2013,22.2,36.7,1.85,10.01027778,19.05984,5.41
3/1/2013,23.3,36.2,2.11,9.975833333,19.43136,5.58
4/1/2013,22.2,33.3,1.9,10.10111111,18.2304,4.87
5/1/2013,21.4,32.4,1.67,10.06416667,19.64736,4.79
6/1/2013,20.7,30.8,1.73,9.911388889,18.58464,4.43
7/1/2013,20.6,28.8,1.49,9.065,13.7808,3.41
8/1/2013,20.2,27.7,1.74,8.364722222,13.27968,3.36
9/1/2013,20.8,29.6,1.5,8.130555556,12.03552,3.32
10/1/2013,20.7,31.2,1.37,9.345277778,16.68384,4.09
11/1/2013,20.6,33.8,1.34,9.620277778,16.9344,4.37
12/1/2013,20.2,33.9,1.63,10.00277778,16.4592,4.5
1/1/2014,21.4,35.1,1.99,9.748333333,16.39008,4.88
2/1/2014,22.2,35.6,1.84,9.966111111,18.62784,5.17
3/1/2014,22.6,35.6,1.94,9.771666667,19.07712,5.34
4/1/2014,22.6,33.9,2.04,9.969166667,18.35136,5.04
5/1/2014,22,32.2,1.53,9.854444444,19.16352,4.61
6/1/2014,21.3,31.3,1.44,9.697777778,17.37504,4.15
7/1/2014,21.3,29.2,1.53,9.259444444,14.58432,3.55
8/1/2014,20.6,27.4,1.71,8.710555556,12.76128,3.22
9/1/2014,20.8,28.9,1.35,8.927777778,12.69216,3.26
10/1/2014,21.2,31,1.38,9.406388889,16.42464,4.03
11/1/2014,21.6,33.1,1.29,9.4275,16.416,4.15
12/1/2014,20.4,33.7,1.61,10.28444444,17.11584,4.54
1/1/2015,19.4,33.3,2.28,10.11277778,18.45504,5.17
2/1/2015,22.5,36.4,1.89,9.465,17.03808,5.08
3/1/2015,23.1,35.2,1.97,9.749166667,19.34496,5.31
4/1/2015,22.2,34.9,2.11,10.12222222,21.91968,5.79
5/1/2015,22.4,34.3,1.8,10.00055556,20.52,5.24
6/1/2015,21.4,31.3,1.73,9.693888889,17.26272,4.29
7/1/2015,21.1,29.6,1.51,9.420833333,14.26464,3.56
8/1/2015,21,28.1,1.58,7.053333333,10.20384,2.89
9/1/2015,21.2,29.3,1.44,8.1,11.91456,3.22
10/1/2015,21.8,30.7,1.38,9.311111111,16.0272,3.92
11/1/2015,21.4,33.5,1.38,10.10111111,18.1872,4.52
12/1/2015,20.4,32.1,2.11,10.4975,18.61056,4.82
1/1/2016,20.7,34.3,2.27,10.37027778,19.008,5.33
2/1/2016,22,36.3,1.9,10.17777778,19.80288,5.5
3/1/2016,23.5,35.8,1.93,9.72,17.94528,5.15
4/1/2016,23.2,34.2,2.07,10.16972222,19.63872,5.26
5/1/2016,22.2,33.2,1.76,9.671111111,18.84384,4.82
6/1/2016,21.1,30.5,1.74,9.272222222,15.62976,3.98
7/1/2016,21,29,1.61,8.378611111,12.07008,3.24
8/1/2016,20.8,28.3,1.62,8.599722222,12.8736,3.31
9/1/2016,21,29.4,1.38,8.936944444,12.8304,3.34
10/1/2016,21.4,31.6,1.4,9.3375,17.77248,4.29
11/1/2016,21.6,34.1,1.41,10.09,18.62784,4.67
12/1/2016,21.3,34.7,1.61,10.10972222,17.0208,4.62
1/1/2017,20.5,34.5,2,10.10166667,17.6688,5.01
2/1/2017,22.2,35.8,1.91,10.10916667,19.64736,5.4
