Station name:,,,,,,
Igbojaiye,,,,Latitude (decimals):,3.3,
,,,,,,
Elevation (m):,,256,Wind speed height (m):,,2,
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
9/1/1986,20.5,28.6,1.41,7.9125,12.6576,3.26
10/1/1986,20.7,30.6,1.27,9.352222222,16.75296,3.98
11/1/1986,20.5,31.8,1.22,9.6925,16.79616,4.04
12/1/1986,18.4,33.3,1.74,10.43027778,18.03168,4.77
1/1/1987,21,34.5,1.87,9.956666667,17.6688,4.89
2/1/1987,22.6,35.8,1.73,9.588611111,17.78112,4.97
3/1/1987,22.8,35.1,1.87,9.719444444,18.86976,5.18
4/1/1987,23.9,35.4,2.14,10.04527778,21.91968,5.82
5/1/1987,22.4,33.8,2.06,9.785,19.6128,5.19
6/1/1987,21.6,31.5,1.52,9.225,15.75936,3.99
7/1/1987,21.6,30.1,1.43,8.956944444,13.79808,3.49
8/1/1987,21.5,29.2,1.65,8.189444444,11.30112,3.18
9/1/1987,21.3,30.1,1.27,8.723333333,13.4352,3.43
10/1/1987,21.2,31.4,1.31,9.342777778,16.65792,4.06
11/1/1987,21.2,34.3,1.28,10.01333333,18.84384,4.64
12/1/1987,19.9,33.9,1.53,10.14694444,17.17632,4.52
1/1/1988,21,33.7,2.05,10.06583333,17.68608,4.89
2/1/1988,22.6,35.6,1.83,9.716388889,17.97984,5.05
3/1/1988,23.6,35.3,1.88,9.737222222,19.19808,5.23
4/1/1988,22.8,33.8,2.08,9.626388889,18.08352,5
5/1/1988,22.7,32.6,1.88,9.721388889,18.99936,4.8
6/1/1988,20.9,30.2,1.67,8.971944444,14.5152,3.76
7/1/1988,20.9,28.3,1.8,7.721388889,11.43072,3.16
8/1/1988,20.3,27.8,1.82,6.940277778,10.59264,3.05
9/1/1988,20.8,29.4,1.46,7.988888889,12.01824,3.27
10/1/1988,21,31.8,1.28,9.556666667,18.46368,4.35
11/1/1988,21.2,33.5,1.24,9.791388889,18.0144,4.4
12/1/1988,19.8,32.5,1.5,10.01361111,16.52832,4.24
1/1/1989,17.3,33.9,2.6,10.45333333,19.68192,5.8
2/1/1989,20.2,35.3,2.19,10.32972222,20.6496,5.75
3/1/1989,22.1,35.1,1.94,9.648888889,18.93888,5.27
4/1/1989,22.9,33.9,2.22,9.964722222,20.09664,5.38
5/1/1989,22,32.4,1.79,9.801944444,18.93888,4.74
6/1/1989,21,30.3,1.5,9.779166667,16.77888,3.99
7/1/1989,20.6,28.7,1.6,8.402777778,12.58848,3.29
8/1/1989,20.4,28.5,1.74,7.64,11.15424,3.18
9/1/1989,20.5,29.2,1.32,8.482777778,12.60576,3.28
10/1/1989,20.5,31,1.35,9.258055556,16.89984,4.09
11/1/1989,20.7,34,1.39,10.10555556,18.7488,4.68
12/1/1989,20,33.5,1.44,10.04055556,16.3728,4.29
1/1/1990,21.4,33.7,2.03,9.714722222,16.95168,4.76
2/1/1990,21,35.5,1.95,10.04555556,19.53504,5.41
3/1/1990,22.5,37.2,1.91,10.32305556,22.60224,6.1
4/1/1990,22.7,33.9,2.29,9.949722222,18.73152,5.23
5/1/1990,22,32.4,1.92,9.4525,17.16768,4.56
6/1/1990,21.5,31.3,1.73,9.263333333,15.5952,4.06
7/1/1990,21,28,1.85,7.877777778,11.11104,3.09
8/1/1990,20.9,28.3,1.48,7.179722222,10.87776,2.97
9/1/1990,20.5,29.6,1.37,8.267222222,12.84768,3.38
10/1/1990,21.2,31.4,1.45,9.070833333,16.43328,4.11
11/1/1990,21.9,33.3,1.41,9.303611111,16.416,4.25
12/1/1990,21,33.1,1.61,9.308055556,14.58432,4.09
1/1/1991,20.5,33.3,2.07,9.699444444,16.95168,4.77
2/1/1991,21.8,34.8,2.09,9.255833333,15.78528,4.84
3/1/1991,22.7,34.3,2.06,9.726666667,18.46368,5.12
4/1/1991,21.8,32.2,2.17,9.605833333,17.5824,4.77
5/1/1991,21.6,31.3,1.96,9.041666667,15.27552,4.18
6/1/1991,20.6,30.7,1.56,8.867222222,14.91264,3.83
7/1/1991,20.5,27.9,1.86,8.063888889,11.18016,3.12
8/1/1991,20.1,26.9,2.07,8.142777778,11.25792,3.13
9/1/1991,20.1,29.1,1.35,8.881388889,13.25376,3.39
10/1/1991,19.5,29.6,1.52,8.8,15.15456,3.82
11/1/1991,20,32,1.42,9.629166667,17.66016,4.33
12/1/1991,18.8,32.7,1.65,10.09055556,16.9344,4.47
1/1/1992,18.1,32.9,2.52,10.34694444,18.99936,5.41
2/1/1992,20.5,35.6,2.02,10.34638889,20.45952,5.63
3/1/1992,22.8,35.4,2.31,9.858055556,19.81152,5.66
4/1/1992,23,33.8,2.2,9.642777778,18.8784,5.17
5/1/1992,21.4,31.7,1.83,9.603611111,17.064,4.42
6/1/1992,20.1,29.9,1.86,8.811111111,14.3424,3.84
7/1/1992,20,27.6,2,6.994722222,9.87552,3.01
8/1/1992,19.7,27,2.02,8.091944444,11.52576,3.19
9/1/1992,19.7,27.9,1.5,8.137222222,12.01824,3.17
10/1/1992,19.7,30.5,1.45,9.311944444,16.10496,4.01
11/1/1992,19.2,32.1,1.49,9.914444444,17.76384,4.42
12/1/1992,19.6,34.3,1.54,10.09222222,16.83072,4.55
1/1/1993,18.2,33.3,2.4,10.31861111,18.8784,5.38
2/1/1993,20.5,35.9,2.12,9.8225,18.41184,5.49
3/1/1993,20.8,34.2,2.05,9.611388889,18.67104,5.22
4/1/1993,21.8,34,2.27,9.823055556,19.37952,5.39
5/1/1993,21.2,32.3,2.03,9.676944444,17.67744,4.72
6/1/1993,20.5,30.2,1.64,9.466111111,16.52832,4.03
7/1/1993,19.9,28,1.63,7.450277778,11.25792,3.08
8/1/1993,19.9,27.8,1.76,8.077222222,12.14784,3.25
9/1/1993,19.6,29.1,1.35,8.211388889,12.36384,3.28
10/1/1993,20,31.1,1.33,9.377222222,16.21728,4.01
11/1/1993,19.9,33.3,1.27,9.463611111,16.35552,4.19
12/1/1993,19.3,33.2,1.57,10.06555556,16.39008,4.38
1/1/1994,20,33,2.16,9.816666667,16.95168,4.81
2/1/1994,21.6,34.9,1.93,9.978333333,19.3536,5.25
3/1/1994,22.5,35,2.19,9.675277778,19.38816,5.46
4/1/1994,22.2,32.8,2.27,9.947777778,18.56736,5.04
5/1/1994,21.2,31.8,1.75,10.13638889,19.224,4.7
6/1/1994,20.1,30.4,1.73,9.253055556,15.12864,3.94
7/1/1994,20.1,27.8,2.03,8.475555556,12.24288,3.34
8/1/1994,20.2,27.1,2.06,6.302222222,9.84096,2.97
