Station name:,,,,,,
Middle Ogun Project,,,,,Latitude (decimals):,7.9
,,,,,,
Elevation (m):,,223,,Wind speed height (m):,,2
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
4/1/2012,23.2,33.5,2.06,9.790277778,17.44416,4.82
5/1/2012,22.4,31.7,1.62,10.06638889,18.1872,4.46
6/1/2012,21.7,30.3,1.58,9.531944444,15.58656,3.89
7/1/2012,21.5,28.5,1.54,9.000833333,12.38976,3.21
8/1/2012,21.2,27.9,1.55,8.418888889,12.07008,3.12
9/1/2012,21.4,29.6,1.49,8.002777778,10.74816,3.11
10/1/2012,22.5,30.5,1.15,9.172222222,14.53248,3.52
11/1/2012,22.5,33,1.07,9.504444444,16.39872,3.92
12/1/2012,20.6,34.7,1.25,10.10805556,16.66656,4.22
1/1/2013,21.8,34.4,1.42,10.06027778,16.74432,4.3
2/1/2013,22.9,36.6,1.74,9.990277778,17.28864,4.95
3/1/2013,24.1,36.1,1.98,9.899722222,17.7984,5.15
4/1/2013,22.9,33.4,1.95,9.862222222,16.78752,4.67
5/1/2013,22.2,32.5,1.57,9.842777778,18.74016,4.63
6/1/2013,21.7,30.7,1.77,9.737777778,17.47008,4.3
7/1/2013,21.4,29.2,1.43,8.866666667,12.84768,3.31
8/1/2013,21,28,1.69,8.290833333,12.95136,3.32
9/1/2013,21.8,30,1.6,7.971111111,11.1888,3.25
10/1/2013,21.6,31.1,1.17,9.196388889,15.6384,3.78
11/1/2013,21.6,33.8,1.12,9.526666667,16.12224,4.01
12/1/2013,21,34.2,1.28,9.909166667,15.97536,4.09
1/1/2014,22.2,35,1.28,9.723611111,15.3792,4.06
2/1/2014,22.9,35.5,1.68,9.915555556,16.78752,4.68
3/1/2014,23.5,35.7,1.76,9.706111111,17.064,4.86
4/1/2014,23.3,34.1,2.03,9.767777778,17.0208,4.83
5/1/2014,22.7,32.5,1.42,9.795277778,18.37728,4.48
6/1/2014,22.2,31.2,1.43,9.504444444,16.20864,4
7/1/2014,22.1,29.7,1.49,9.124722222,13.46112,3.45
8/1/2014,21.5,27.7,1.66,8.505277778,11.86272,3.1
9/1/2014,22,29.2,1.4,8.898611111,11.87136,3.15
10/1/2014,22.2,30.9,1.16,9.303611111,15.43104,3.71
11/1/2014,22.7,33,1.1,9.325555556,15.71616,3.84
12/1/2014,21.2,33.8,1.24,10.20138889,16.848,4.13
1/1/2015,20.2,33.1,1.58,10.04833333,17.7552,4.43
2/1/2015,23.1,36.3,1.76,9.324444444,14.95584,4.58
3/1/2015,23.7,35.2,1.81,9.802777778,17.76384,4.91
4/1/2015,22.7,35,2.1,10.04944444,20.74464,5.61
5/1/2015,23,34.5,1.69,9.826666667,19.57824,5.08
6/1/2015,22.4,31.3,1.76,9.631666667,16.16544,4.16
7/1/2015,21.7,29.9,1.47,9.245833333,13.53024,3.49
8/1/2015,21.9,28.4,1.58,7.1425,9.73728,2.83
9/1/2015,22.3,29.6,1.54,7.901666667,11.15424,3.14
10/1/2015,22.7,30.7,1.16,9.270833333,15.38784,3.67
11/1/2015,22.4,33.4,1.12,9.97,17.54784,4.17
12/1/2015,21.1,32.3,1.75,10.49444444,18.78336,4.55
1/1/2016,21.4,34.2,1.55,10.37,18.55872,4.62
2/1/2016,22.6,36.3,1.74,10.1725,18.29952,5.07
3/1/2016,24.2,35.7,1.75,9.658055556,16.39008,4.72
4/1/2016,23.8,34.4,2.08,10.17138889,18.93888,5.17
5/1/2016,22.8,33.4,1.64,9.4525,17.95392,4.65
6/1/2016,22,30.4,1.76,9.270555556,14.75712,3.85
7/1/2016,21.8,29.4,1.58,8.49,11.73312,3.22
8/1/2016,21.7,28.8,1.61,8.533333333,12.25152,3.26
9/1/2016,21.8,29.7,1.47,8.952777778,12.19104,3.3
10/1/2016,22.4,31.7,1.16,9.300555556,16.95168,4.01
11/1/2016,22.6,34,1.16,9.941388889,18.144,4.34
12/1/2016,21.9,35,1.23,10.05222222,16.85664,4.24
1/1/2017,21.4,34.4,1.3,10.04361111,16.83936,4.23
2/1/2017,23,35.9,1.74,10.055,18.00576,4.95
