Station name:,,,,,,
Middle Ogun Project,,,,,Latitude (decimals):,7.9
,,,,,,
Elevation (m):,,223,,Wind speed height (m):,,2
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
9/1/1986,21.6,28.9,1.51,7.773333333,11.88,3.19
10/1/1986,21.7,30.5,1.04,9.271944444,15.8112,3.67
11/1/1986,21.7,31.8,0.95,9.597777778,16.33824,3.74
12/1/1986,19.1,33.5,1.33,10.36222222,17.99712,4.35
1/1/1987,21.9,34.3,1.07,9.899166667,16.81344,4.03
2/1/1987,23.2,35.5,1.59,9.5375,15.768,4.45
3/1/1987,23.6,35,1.71,9.736666667,17.38368,4.77
4/1/1987,24.5,35.5,2.07,9.982222222,20.71008,5.59
5/1/1987,23.1,34,1.99,9.764444444,18.75744,5.06
6/1/1987,22.5,31.4,1.57,9.282222222,15.23232,3.94
7/1/1987,22.3,30.3,1.38,8.871666667,12.96864,3.39
8/1/1987,22.4,29.5,1.65,8.061388889,10.43712,3.06
9/1/1987,22.3,30.4,1.34,8.740833333,12.68352,3.36
10/1/1987,22.2,31.4,1.07,9.166944444,15.79392,3.76
11/1/1987,22.2,34.1,1.01,9.840277778,18.25632,4.26
12/1/1987,20.5,34.2,1.14,10.16888889,17.12448,4.13
1/1/1988,21.8,33.5,1.29,10.05916667,16.9776,4.13
2/1/1988,23.3,35.5,1.64,9.677222222,16.14816,4.54
3/1/1988,24.2,35,1.67,9.726388889,17.57376,4.75
4/1/1988,23.4,33.9,2.07,9.667777778,17.18496,4.84
5/1/1988,23.5,32.7,1.8,9.687222222,18.24768,4.66
6/1/1988,22,30.2,1.65,9.085833333,14.04,3.68
7/1/1988,21.8,28.6,1.76,7.847777778,11.0592,3.11
8/1/1988,21.2,28.2,1.79,7.18,10.4976,3.04
9/1/1988,21.8,29.7,1.57,8.001111111,11.56032,3.25
10/1/1988,22,31.7,1.02,9.482777778,17.54784,4.02
11/1/1988,22.2,33.3,1.01,9.705277778,17.42688,4.06
12/1/1988,20.4,32.7,1.16,9.944166667,16.12224,3.87
1/1/1989,18,33.7,1.77,10.45611111,19.36224,4.92
2/1/1989,20.9,35.3,1.93,10.29916667,19.46592,5.29
3/1/1989,22.9,35,1.78,9.641388889,17.41824,4.85
4/1/1989,23.3,34,2.24,9.903611111,18.81792,5.2
5/1/1989,22.8,32.5,1.65,9.668888889,18.04896,4.55
6/1/1989,22,30.3,1.49,9.641388889,15.84576,3.87
7/1/1989,21.5,29.1,1.54,8.383055556,11.88,3.21
8/1/1989,21.3,28.8,1.73,7.770833333,10.80864,3.13
9/1/1989,21.5,29.5,1.41,8.327222222,11.7072,3.19
10/1/1989,21.4,31,1.11,9.183055556,15.984,3.79
11/1/1989,21.8,34,1.15,9.992777778,18.29952,4.36
12/1/1989,20.7,33.6,1.11,10.035,16.16544,3.92
1/1/1990,22.2,33.4,1.36,9.677777778,16.05312,4.03
2/1/1990,21.7,35.5,1.72,9.983333333,17.97984,4.92
3/1/1990,23.3,37.1,1.73,10.15277778,21.28032,5.68
4/1/1990,23.2,33.9,2.29,9.89,17.55648,5.03
5/1/1990,22.7,32.5,1.8,9.343611111,16.26912,4.38
6/1/1990,22.4,31.2,1.7,9.074166667,14.7312,3.91
7/1/1990,21.8,28.3,1.85,7.698055556,10.37664,3.01
8/1/1990,21.8,28.6,1.48,7.111944444,10.27296,2.89
9/1/1990,21.4,29.9,1.43,8.293333333,12.24288,3.33
10/1/1990,22.1,31.3,1.16,9.007777778,15.58656,3.77
11/1/1990,22.8,33.2,1.23,9.368333333,15.8976,3.97
12/1/1990,21.7,33.3,1.29,9.264166667,14.20416,3.74
1/1/1991,21.5,33.2,1.35,9.709444444,16.05312,4.02
2/1/1991,22.6,34.7,1.92,9.37,13.92768,4.35
3/1/1991,23.6,34.3,1.89,9.741388889,17.064,4.73
4/1/1991,22.5,32.2,2.17,9.630277778,16.66656,4.6
5/1/1991,22.3,31.6,1.91,9.036666667,14.9904,4.14
6/1/1991,21.5,30.6,1.55,8.903888889,14.17824,3.72
7/1/1991,21.3,28.4,1.85,8.076944444,10.66176,3.1
8/1/1991,21.1,27.4,2.04,8.266111111,10.90368,3.09
9/1/1991,21.2,29.4,1.41,8.868888889,12.4416,3.3
10/1/1991,20.5,29.6,1.31,8.670833333,14.33376,3.54
11/1/1991,21.1,32.1,1.18,9.61,16.9776,4.01
12/1/1991,19.3,33,1.25,10.03666667,16.85664,4.08
1/1/1992,18.7,33.3,1.8,10.36555556,18.63648,4.78
2/1/1992,21,35.9,1.81,10.24916667,19.18944,5.25
3/1/1992,23.4,35.4,2.12,9.885277778,18.16992,5.23
4/1/1992,23.6,33.9,2.18,9.729722222,17.74656,4.98
5/1/1992,22.1,32,1.7,9.637222222,16.51968,4.32
6/1/1992,21.1,29.8,1.87,8.914722222,13.83264,3.75
7/1/1992,20.8,27.9,2,7.008888889,9.288,2.95
8/1/1992,20.6,27.2,2.03,8.043055556,11.12832,3.13
9/1/1992,20.8,28.1,1.61,7.967777778,11.16288,3.08
10/1/1992,20.8,30.6,1.22,9.33,15.24096,3.71
11/1/1992,20.1,32.1,1.24,9.877777778,17.3232,4.11
12/1/1992,20.2,34.5,1.19,10.04888889,16.56288,4.13
1/1/1993,18.7,33.4,1.64,10.30416667,18.22176,4.62
2/1/1993,20.9,36,1.9,9.852222222,16.65792,5
3/1/1993,21.6,34.3,1.87,9.628611111,17.18496,4.83
4/1/1993,22.4,34,2.3,9.699722222,18.12672,5.19
5/1/1993,22,32.4,1.89,9.496111111,16.83072,4.53
6/1/1993,21.6,30.2,1.69,9.358888889,15.54336,3.93
7/1/1993,20.7,28.3,1.61,7.665,10.81728,3.04
8/1/1993,20.9,28.2,1.78,8.241111111,11.77632,3.23
9/1/1993,20.7,29.6,1.4,8.249166667,11.65536,3.23
10/1/1993,21.1,31.3,1.08,9.287222222,15.39648,3.72
11/1/1993,21.1,33.4,1.1,9.420833333,15.49152,3.87
12/1/1993,19.9,33.6,1.13,10.04888889,16.06176,3.93
1/1/1994,20.8,32.9,1.43,9.797777778,15.97536,4.05
2/1/1994,22.4,34.9,1.75,9.956944444,17.64288,4.79
3/1/1994,23.2,35,2.02,9.644166667,17.59104,5.02
4/1/1994,22.8,32.8,2.25,9.937222222,17.5824,4.85
5/1/1994,22,32.1,1.62,10.02805556,18.45504,4.57
6/1/1994,21.1,30.4,1.76,9.133333333,14.37696,3.85
7/1/1994,20.9,28.2,2.01,8.579166667,11.76768,3.31
8/1/1994,21.1,27.5,2.07,6.723888889,9.79776,2.97
9/1/1994,21.1,29.1,1.8,8.234722222,11.12832,3.27
10/1/1994,20.8,30.2,1.05,8.672222222,13.03776,3.26
11/1/1994,20.4,32.6,1.05,10.10416667,18.03168,4.12
12/1/1994,20,32,1.62,10.43472222,18.55008,4.43
1/1/1995,19.2,34.4,1.35,10.20583333,17.1936,4.36
2/1/1995,21.3,35.6,1.67,9.901111111,16.17408,4.66
3/1/1995,22.9,34.4,1.85,9.545555556,16.46784,4.67
4/1/1995,22.9,33.3,2.13,9.540555556,17.1072,4.8
5/1/1995,22,32.5,1.58,9.631944444,17.77248,4.5
6/1/1995,21.4,30.4,1.72,8.948333333,14.79168,3.87
7/1/1995,21.4,28.6,1.78,8.048055556,10.9296,3.12
8/1/1995,21.3,28.1,1.88,7.852222222,9.7632,2.96
9/1/1995,21,29.4,1.78,8.052222222,10.83456,3.26
10/1/1995,21,30.4,1.25,8.7775,13.3056,3.43
11/1/1995,20.2,33,1.19,10.12888889,17.27136,4.16
12/1/1995,19.8,34,1.18,9.573055556,14.75712,3.85
1/1/1996,21.7,33.4,1.19,9.4125,14.3856,3.7
2/1/1996,22.1,35.1,1.83,9.263611111,14.1264,4.4
3/1/1996,23.1,34.6,1.81,9.360277778,16.03584,4.6
4/1/1996,22.5,33.4,2.08,9.8675,17.4528,4.86
5/1/1996,22,32.6,1.68,9.472222222,16.2864,4.36
6/1/1996,21.4,30.3,1.69,8.741666667,13.21056,3.62
7/1/1996,20.8,29.2,1.73,8.4,11.59488,3.31
8/1/1996,20.7,27.9,1.92,6.984722222,9.69408,2.98
9/1/1996,20.8,28.4,1.8,8.084166667,11.62944,3.26
10/1/1996,20.9,30.3,1.26,9.001944444,14.74848,3.63
11/1/1996,21.3,32.6,1.27,10.4075,19.1808,4.42
12/1/1996,20.2,34,1.16,9.535833333,15.01632,3.85
1/1/1997,21.3,34,1.29,9.532222222,15.22368,3.96
2/1/1997,20.4,36,2.04,10.36166667,19.6128,5.54
3/1/1997,22.9,33.9,1.7,9.699722222,16.52832,4.51
4/1/1997,22.2,32.4,2.21,9.723055556,16.51968,4.65
5/1/1997,21.3,31.8,1.58,9.943055556,18.0576,4.47
6/1/1997,21.2,29.8,1.63,8.786944444,13.46976,3.58
7/1/1997,20.9,28.4,1.82,8.572777778,12.38112,3.34
8/1/1997,20.7,28.4,1.75,8.189444444,12.3984,3.34
9/1/1997,21.3,30.3,1.4,9.166666667,13.57344,3.55
10/1/1997,21,31.3,1.04,9.296111111,15.62112,3.73
11/1/1997,21.4,32.7,1.03,9.716388889,17.1072,3.98
12/1/1997,20.4,33.6,1.24,10.22916667,17.42688,4.19
1/1/1998,20.1,34.2,1.58,10.24194444,18.26496,4.64
2/1/1998,22.3,36.7,1.77,10.08,18.43776,5.18
3/1/1998,23.8,36.9,1.8,10.04888889,20.15712,5.52
4/1/1998,24.2,34.8,2.17,10.13416667,18.99072,5.27
5/1/1998,23.1,33.1,1.46,10.08055556,18.03168,4.52
6/1/1998,21.6,31.2,1.25,9.901111111,16.31232,3.93
7/1/1998,21.9,28.6,1.56,8.6775,11.664,3.1
8/1/1998,20.7,28.1,1.73,7.616111111,11.33568,3.15
9/1/1998,21.2,29.4,1.47,8.568055556,12.23424,3.3
10/1/1998,21.3,30.8,1.14,9.065833333,14.8608,3.62
11/1/1998,21.6,33.4,1.05,9.848333333,17.5824,4.13
12/1/1998,20.3,34.1,1.18,10.02444444,16.90848,4.13
1/1/1999,21.3,33.8,1.25,9.653055556,15.82848,3.99
2/1/1999,21.7,34.6,1.72,9.766388889,16.21728,4.55
3/1/1999,22.7,34.7,1.8,9.746666667,17.13312,4.79
4/1/1999,22.3,33.3,1.95,10.12111111,18.71424,4.96
5/1/1999,22.2,32.9,1.43,9.921111111,18.90432,4.63
6/1/1999,21.7,31.1,1.43,9.545833333,15.52608,3.9
7/1/1999,20.9,28.8,1.75,8.694166667,11.232,3.21
8/1/1999,20.6,27.9,1.83,8.461111111,11.51712,3.2
9/1/1999,20.8,28.6,1.53,8.330833333,11.30112,3.12
10/1/1999,20.8,29.8,1.1,8.502777778,12.72672,3.21
11/1/1999,21.2,32.9,0.99,9.595555556,16.60608,3.9
12/1/1999,19.8,34.4,1.27,10.2925,17.59104,4.34
1/1/2000,22,34.8,1.26,9.762777778,15.92352,4.1
2/1/2000,21.5,34.7,2.02,10.29333333,19.31904,5.22
3/1/2000,22.8,35.7,1.92,10.17277778,20.68416,5.54
4/1/2000,22.7,34.3,2.07,9.998611111,18.95616,5.21
5/1/2000,22.6,33.3,1.45,10.04333333,19.15488,4.71
6/1/2000,21.3,30.5,1.57,8.774722222,14.00544,3.7
7/1/2000,21.1,28.7,1.6,8.643888889,12.21696,3.25
8/1/2000,20.9,27.5,1.61,8.285555556,11.26656,3.01
9/1/2000,20.8,29.8,1.55,8.570555556,11.47392,3.3
10/1/2000,20.6,31.3,1.13,9.318611111,15.06816,3.71
11/1/2000,21.2,33.5,1.1,9.812222222,17.90208,4.22
12/1/2000,19.7,34.9,1.28,10.00527778,16.96032,4.32
1/1/2001,20.1,34.4,1.28,10.07583333,17.64288,4.34
2/1/2001,22,35.3,1.83,10.15694444,18.50688,5.04
3/1/2001,22.6,36.6,1.8,9.785277778,18.43776,5.26
4/1/2001,23.2,33.5,2.08,9.682222222,17.59104,4.86
5/1/2001,23.2,32.8,1.55,10.13305556,18.99072,4.67
6/1/2001,21.7,30.1,1.59,9.592222222,15.05952,3.79
7/1/2001,21.8,28.8,1.6,8.606666667,11.59488,3.14
8/1/2001,20.9,27.8,1.78,6.988611111,9.52992,2.88
9/1/2001,21.4,29,1.55,8.7725,12.528,3.32
10/1/2001,21.7,31.1,1.14,9.584444444,16.94304,3.95
11/1/2001,21.9,33.6,1.13,9.695833333,17.3664,4.17
12/1/2001,21,34.9,1.2,9.996388889,16.38144,4.15
1/1/2002,21.2,32.2,1.49,10.29944444,18.04896,4.27
2/1/2002,21.9,35.5,1.8,9.940277778,17.31456,4.89
3/1/2002,23.4,35.7,1.83,9.828888889,18.26496,5.09
4/1/2002,23,33.5,1.99,9.869444444,17.91936,4.86
5/1/2002,22.6,33.3,1.54,10.14388889,20.304,4.94
6/1/2002,21.7,30.8,1.71,8.708333333,14.41152,3.85
7/1/2002,21.7,29.4,1.47,8.43,11.448,3.14
8/1/2002,21.4,28.5,1.64,8.464722222,11.42208,3.13
9/1/2002,21.5,29.3,1.54,9.100555556,13.72896,3.52
10/1/2002,21.6,30.1,1.17,9.105833333,14.39424,3.5
