Station name:,,,,,,
"Igbogila, Ogun state",,,,Latitude (decimals):,7.5,
,,,,,,
Elevation (m):,,196,Wind speed height (m):,,2,
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
12/1/1986,20.4,33.5,1.19,10.33222222,18.1,4.24
1/1/1987,22.8,34.8,1.09,9.863888889,16.8,4.1
2/1/1987,23.9,35.6,1.61,9.716111111,16.2,4.52
3/1/1987,23.7,35,1.61,9.935833333,18,4.79
4/1/1987,24.6,35.4,1.79,10.22194444,21,5.45
5/1/1987,23.4,33.9,1.8,10.00611111,18.9,4.94
6/1/1987,22.3,31.8,1.42,9.629444444,15.6,3.96
7/1/1987,22.4,30.8,1.36,9.171666667,13.5,3.51
8/1/1987,22.4,29.8,1.6,8.475277778,10.9,3.14
9/1/1987,22.2,30.5,1.29,9.022777778,13.2,3.43
10/1/1987,22.1,31.8,1.08,9.5275,16.7,3.94
11/1/1987,22.7,34.5,0.97,10.13694444,18.8,4.35
12/1/1987,21.8,34.1,1.04,10.25666667,17.1,4.04
1/1/1988,22.3,34.4,1.21,10.04777778,17.3,4.22
2/1/1988,23.9,35.6,1.69,9.858611111,16.7,4.65
3/1/1988,24.3,35,1.57,9.97,18,4.76
4/1/1988,23.5,33.8,1.76,9.845277778,17.7,4.72
5/1/1988,23.6,32.7,1.59,10.04444444,18.6,4.61
6/1/1988,21.7,30.6,1.47,9.215,14.1,3.65
7/1/1988,21.7,29.1,1.7,8.027222222,11.5,3.21
8/1/1988,21.2,28.5,1.78,7.601111111,11.3,3.18
9/1/1988,21.8,29.9,1.5,7.931388889,11.9,3.3
10/1/1988,22,32.1,0.99,9.550555556,18.1,4.12
11/1/1988,22.6,33.6,0.92,9.993333333,17.9,4.1
12/1/1988,21.6,32.8,0.96,10.01861111,16,3.72
1/1/1989,18.8,34.4,1.46,10.32888889,19.8,4.79
2/1/1989,21.9,35.5,1.79,10.3975,20.1,5.28
3/1/1989,23.2,34.9,1.68,9.927777778,17.7,4.8
4/1/1989,23.5,33.7,1.92,10.14027778,19.2,5.03
5/1/1989,23,32.4,1.53,10.11388889,18.5,4.54
6/1/1989,22,30.7,1.36,9.830833333,15.8,3.85
7/1/1989,21.6,29.4,1.49,8.648333333,12.4,3.28
8/1/1989,21.2,29.1,1.75,7.932777778,11.4,3.26
9/1/1989,21.2,29.9,1.34,8.423055556,12.3,3.3
10/1/1989,21.4,31.4,1.12,9.48,16.8,3.95
11/1/1989,22.3,34.3,1.04,10.2,18.7,4.37
12/1/1989,21.9,33.6,1.03,10.18361111,16.1,3.84
1/1/1990,22.9,34.1,1.28,9.82,16.2,4.07
2/1/1990,22.5,35.6,1.65,10.09138889,18.6,4.94
3/1/1990,23.6,37.1,1.75,10.23555556,21.6,5.75
4/1/1990,23.3,33.8,2,10.05694444,17.9,4.91
5/1/1990,23,32.5,1.64,9.930555556,17.1,4.39
6/1/1990,22.2,31.6,1.59,9.452222222,15.1,3.97
7/1/1990,21.8,28.7,1.81,8.073611111,11,3.13
8/1/1990,21.6,28.8,1.5,7.703333333,11.2,3.06
9/1/1990,21.4,30.1,1.33,8.356666667,12.8,3.38
10/1/1990,22,31.7,1.16,9.189166667,16.3,3.92
11/1/1990,23.1,33.5,1.12,9.531388889,16.2,3.97
12/1/1990,22.7,33.3,1.18,9.478888889,14.1,3.63
1/1/1991,22.2,33.8,1.39,9.726388889,16.2,4.13
2/1/1991,23.2,34.5,1.91,9.596944444,14.4,4.35
3/1/1991,23.8,34.3,1.78,9.9475,17.5,4.72
4/1/1991,22.5,32.1,1.81,9.930555556,17,4.44
5/1/1991,22.5,31.7,1.69,9.390555556,15.4,4.09
6/1/1991,21.4,31.1,1.38,9.303333333,14.5,3.73
7/1/1991,21.4,28.7,1.77,8.5425,11.3,3.18
8/1/1991,21,27.6,2.06,8.598611111,11.6,3.22
9/1/1991,20.9,29.5,1.31,8.865,12.9,3.33
10/1/1991,20.4,30,1.29,8.990833333,15.2,3.69
11/1/1991,21.6,32.4,1.08,9.8125,17.5,4.05
12/1/1991,20.6,32.9,1.11,10.03444444,16.7,3.93
1/1/1992,19.6,33.7,1.66,10.29777778,19.1,4.77
2/1/1992,21.9,35.8,1.76,10.3025,19.8,5.25
3/1/1992,23.6,35.3,2.03,9.995,18.8,5.25
4/1/1992,23.7,33.8,1.86,9.898888889,18.2,4.85
5/1/1992,22.3,32,1.5,9.915277778,17.2,4.3
6/1/1992,20.8,30.2,1.69,9.073611111,14.1,3.76
7/1/1992,20.8,28.4,1.94,7.666111111,10.2,3.11
8/1/1992,20.5,27.6,2.04,8.376666667,12.1,3.32
9/1/1992,20.7,28.4,1.54,8.248055556,11.8,3.18
10/1/1992,20.7,31,1.23,9.675,16.1,3.89
11/1/1992,20.4,32.6,1.1,10.00833333,18,4.15
12/1/1992,21.5,34.5,1.05,10.15972222,16.5,4
1/1/1993,19.5,34.2,1.47,10.25111111,18.7,4.63
2/1/1993,21.7,36,1.83,9.899166667,17.1,4.97
3/1/1993,21.8,34.3,1.76,9.980277778,17.8,4.84
4/1/1993,22.4,33.9,1.92,9.985555556,18.5,5
5/1/1993,22.2,32.5,1.71,9.989722222,17.6,4.54
6/1/1993,21.2,30.5,1.5,9.623888889,15.9,3.93
7/1/1993,20.7,28.7,1.58,8.159166667,11.7,3.19
8/1/1993,20.8,28.5,1.79,8.724722222,12.5,3.37
9/1/1993,20.5,29.8,1.36,8.549166667,12.5,3.35
10/1/1993,21,31.7,1.06,9.651388889,16.4,3.89
11/1/1993,21.3,33.6,1.01,9.653333333,16,3.89
12/1/1993,21.1,33.6,0.99,10.04888889,16.1,3.82
1/1/1994,21.6,33.5,1.37,9.873055556,16.1,4.08
2/1/1994,23.1,35,1.79,9.940555556,18,4.87
3/1/1994,23.4,34.8,1.97,10.01305556,18.4,5.06
4/1/1994,22.9,32.8,1.92,10.07277778,18,4.74
