Station name:,,,,,,
"Igbogila, Ogun state",,,,Latitude (decimals):,7.5,
,,,,,,
Elevation (m):,,196,Wind speed height (m):,,2,
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
3/1/2013,24.2,35.8,1.84,10.1675,18.8,5.16
4/1/2013,23,33.4,1.72,10.18888889,18.1,4.73
5/1/2013,22.4,32.5,1.46,10.09222222,19.2,4.64
6/1/2013,21.5,31.1,1.62,9.994166667,17.7,4.32
7/1/2013,21.3,29.5,1.44,8.918333333,13.3,3.41
8/1/2013,20.9,28.3,1.74,8.576111111,13.8,3.5
9/1/2013,21.7,30.2,1.53,8.593055556,12,3.37
10/1/2013,21.6,31.5,1.16,9.314166667,16.6,3.95
11/1/2013,22.2,33.9,1.05,9.741388889,16.6,4.03
12/1/2013,22.1,34.1,1.14,9.948333333,16.1,3.98
1/1/2014,23,35.5,1.22,9.862222222,15.7,4.1
2/1/2014,23.5,35.5,1.68,9.966666667,17.4,4.76
3/1/2014,23.6,35.4,1.71,10.01111111,18.1,4.94
4/1/2014,23.3,33.9,1.73,10.24944444,18.3,4.82
5/1/2014,23.1,32.6,1.32,9.999166667,18.9,4.51
6/1/2014,22,31.6,1.33,9.641666667,16.2,3.98
7/1/2014,22.2,30,1.5,9.140555556,13.7,3.51
8/1/2014,21.4,28.1,1.69,8.736666667,12.6,3.26
9/1/2014,21.9,29.5,1.33,9.159722222,12.7,3.28
10/1/2014,22.1,31.3,1.18,9.463055556,16.6,3.93
11/1/2014,22.9,33.1,1.03,9.538333333,16.2,3.89
12/1/2014,22.3,33.9,1.12,10.29138889,16.8,4.04
1/1/2015,21,33.9,1.5,10.12972222,18.3,4.53
2/1/2015,23.8,36.2,1.83,9.657777778,15.5,4.67
3/1/2015,23.8,35.3,1.72,9.960833333,18.4,4.96
4/1/2015,22.8,35.1,1.79,10.11555556,21.2,5.49
5/1/2015,23.3,34.5,1.55,10.12333333,20.2,5.07
6/1/2015,22.1,31.6,1.57,9.747777778,16.2,4.11
7/1/2015,21.8,30.2,1.44,9.458055556,14.5,3.65
8/1/2015,21.9,28.8,1.6,7.268611111,10.5,2.99
9/1/2015,22.2,29.9,1.44,8.048055556,11.6,3.2
10/1/2015,22.6,31.1,1.1,9.439166667,16.1,3.8
11/1/2015,22.7,33.9,1,10.11666667,18.1,4.22
12/1/2015,22.3,32.6,1.59,10.5,19.1,4.51
1/1/2016,22.2,34.9,1.45,10.27138889,18.9,4.68
2/1/2016,23.5,36.4,1.79,10.11388889,19,5.2
3/1/2016,24.2,35.7,1.64,9.732222222,16.8,4.71
4/1/2016,23.8,34.2,1.73,10.3025,19.5,5.02
5/1/2016,23.1,33.3,1.51,9.855833333,18.6,4.65
6/1/2016,21.7,30.8,1.65,9.405555556,14.8,3.88
7/1/2016,21.8,29.7,1.58,8.472222222,12.1,3.31
8/1/2016,21.6,29.1,1.63,8.541944444,12.9,3.39
9/1/2016,21.9,30,1.38,9.224722222,13,3.4
10/1/2016,22.2,32,1.11,9.5775,17.8,4.14
11/1/2016,23,34.3,1.05,10.17555556,18.7,4.38
12/1/2016,23.1,35,1.08,10.14138889,16.8,4.11
1/1/2017,22.1,35,1.24,10.07694444,17.4,4.32
2/1/2017,23.5,35.8,1.77,9.986388889,18.4,5
