Station name:,,,,,,
"Hyderabad, India",,,,Latitude (decimals):,7.3,
,,,,,,
Elevation (m):,,148,Wind speed height (m):,,2,
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
2/1/2012,23,33.7,1.69,9.551111111,15.82848,4.31
3/1/2012,23.6,34.5,1.5,10.10222222,20.05344,4.98
4/1/2012,23.3,32.5,1.8,9.973333333,18.04896,4.62
5/1/2012,22.5,31,1.48,10.19555556,18.29952,4.32
6/1/2012,21.5,29.9,1.44,9.426944444,14.95584,3.68
7/1/2012,21.4,28.1,1.63,9.247777778,12.51072,3.21
8/1/2012,21.2,27.6,1.59,8.542777778,12.45024,3.15
9/1/2012,21.6,29.1,1.43,8.246666667,11.15424,3.07
10/1/2012,22.8,29.8,1.09,9.208055556,14.80032,3.46
11/1/2012,23.1,32.2,1.04,9.6225,16.38144,3.83
12/1/2012,21.7,33.9,1.16,10.09833333,16.60608,4.05
1/1/2013,22.5,33.7,1.35,10.05111111,17.22816,4.23
2/1/2013,23.7,35.4,1.63,10.01277778,18.30816,4.84
3/1/2013,24.4,34.8,1.75,10.07361111,19.07712,5
4/1/2013,23.1,32.6,1.69,9.836666667,17.78976,4.55
5/1/2013,22.3,31.6,1.4,9.814722222,18.74016,4.42
6/1/2013,21.8,30.1,1.67,9.854444444,16.94304,4.08
7/1/2013,21.4,28.7,1.52,8.836666667,12.33792,3.21
8/1/2013,21,27.7,1.7,8.533333333,13.38336,3.34
9/1/2013,22,29.6,1.58,8.1375,11.34432,3.2
10/1/2013,22,30.4,1.19,9.132222222,15.6816,3.72
11/1/2013,22.4,33,1.12,9.61,15.984,3.91
12/1/2013,22,33.3,1.25,9.907222222,15.90624,3.95
1/1/2014,22.9,34.2,1.27,9.826944444,15.56064,3.99
2/1/2014,23.6,34.3,1.52,9.961388889,17.6256,4.52
3/1/2014,23.9,34.4,1.55,9.978611111,18.17856,4.7
4/1/2014,23.3,33.1,1.68,10.02805556,18.11808,4.65
5/1/2014,22.9,31.8,1.25,9.951388889,18.6192,4.34
6/1/2014,22.1,30.7,1.27,9.380277778,15.336,3.73
7/1/2014,22.1,29.2,1.58,8.986944444,12.71808,3.32
8/1/2014,21.6,27.3,1.65,8.372777778,11.7504,3.02
9/1/2014,22.2,28.8,1.34,9.144444444,12.00096,3.09
10/1/2014,22.6,30.1,1.21,9.363333333,15.62112,3.67
11/1/2014,23.4,32.1,1.09,9.398888889,15.81984,3.76
12/1/2014,22.4,32.9,1.19,10.14555556,16.7616,3.98
1/1/2015,20.9,32.5,1.52,10.06083333,18.36864,4.39
2/1/2015,23.9,34.9,1.68,9.467222222,15.60384,4.39
3/1/2015,24,34.2,1.52,9.961666667,18.88704,4.76
4/1/2015,22.8,34.3,1.74,10.14111111,21.2112,5.34
5/1/2015,23.1,33.6,1.54,9.976666667,19.67328,4.87
6/1/2015,22.4,30.7,1.69,9.639444444,15.4656,3.94
7/1/2015,21.7,29.4,1.57,9.064444444,13.68576,3.49
8/1/2015,21.9,28.1,1.57,7.341666667,10.17792,2.85
9/1/2015,22.4,29.1,1.51,7.678611111,11.016,3.04
10/1/2015,23,30,1.1,9.426944444,15.62976,3.61
11/1/2015,23.1,32.7,0.97,10.03305556,17.66016,4.03
12/1/2015,22.2,31.5,1.58,10.49444444,19.2672,4.4
1/1/2016,22.1,33.6,1.45,10.23638889,19.21536,4.57
2/1/2016,23.5,35.3,1.66,10.14222222,19.46592,5.02
3/1/2016,24.5,34.6,1.49,9.684444444,17.48736,4.57
4/1/2016,23.8,33.4,1.75,10.30472222,19.82016,4.97
5/1/2016,23,32.6,1.52,9.706666667,18.16128,4.5
6/1/2016,21.9,29.9,1.71,9.349166667,14.35968,3.71
7/1/2016,21.7,28.9,1.7,8.605,11.6208,3.2
8/1/2016,21.7,28.5,1.59,8.488055556,12.33792,3.22
9/1/2016,22.1,29.3,1.41,9.165277778,12.3984,3.24
10/1/2016,22.6,30.9,1.03,9.539444444,17.17632,3.9
11/1/2016,23.2,33.3,1.07,10.07833333,18.41184,4.26
12/1/2016,22.9,34.2,1.11,9.993055556,16.8912,4.07
1/1/2017,22,33.7,1.27,9.985555556,17.38368,4.21
2/1/2017,23.5,34.6,1.55,9.931944444,18.792,4.75
