Station name:,,,,,,
"Hyderabad, India",,,,Latitude (decimals):,7.3,
,,,,,,
Elevation (m):,,148,Wind speed height (m):,,2,
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
8/1/1986,20.8,27.8,1.57,7.574722222,11.7072,3.09
9/1/1986,21.8,28.5,1.47,7.733888889,12.32064,3.18
10/1/1986,21.8,29.7,1.1,9.377222222,15.9408,3.65
11/1/1986,22.2,31.2,0.86,9.586944444,16.60608,3.68
12/1/1986,20.2,32.8,1.17,10.2375,18.15264,4.17
1/1/1987,22.6,33.4,1.07,9.765,16.9344,3.97
2/1/1987,24,34.4,1.48,9.730277778,16.38144,4.31
3/1/1987,24,33.8,1.44,9.984166667,18.59328,4.62
4/1/1987,24.6,34.5,1.72,10.16472222,21.07296,5.29
5/1/1987,23.3,33.1,1.82,9.968611111,18.6192,4.79
6/1/1987,22.6,30.9,1.47,9.620555556,15.32736,3.83
7/1/1987,22.3,29.9,1.39,9.064444444,12.73536,3.31
8/1/1987,22.6,29.1,1.54,8.120833333,10.25568,2.92
9/1/1987,22.4,29.8,1.25,8.965277778,12.64896,3.24
10/1/1987,22.5,30.6,1.02,9.308333333,15.99264,3.69
11/1/1987,23,33.4,0.95,9.974722222,18.4032,4.19
12/1/1987,21.5,33.2,1.06,10.25638889,17.22816,4
1/1/1988,22.3,32.9,1.24,10.09333333,17.4096,4.1
2/1/1988,24,34.3,1.49,9.796666667,16.98624,4.39
3/1/1988,24.5,33.9,1.4,9.941111111,18.63648,4.61
4/1/1988,23.5,33,1.7,9.901666667,17.91936,4.61
5/1/1988,23.6,31.7,1.57,10.04333333,18.47232,4.44
6/1/1988,22,29.7,1.49,9.314166667,13.83264,3.51
7/1/1988,21.8,28.2,1.8,8.061388889,11.11968,3.07
8/1/1988,21.3,27.9,1.75,7.8125,11.29248,3.09
9/1/1988,22,29.2,1.5,7.968611111,11.65536,3.16
10/1/1988,22.4,30.9,0.96,9.536666667,17.4528,3.91
11/1/1988,22.9,32.5,0.98,9.911666667,17.54784,4
12/1/1988,21.4,31.9,1.05,9.956388889,15.90624,3.69
1/1/1989,18.6,33.1,1.39,10.36361111,20.15712,4.63
2/1/1989,21.9,34.2,1.58,10.30888889,20.85696,5.05
3/1/1989,23.4,33.8,1.54,9.914444444,18.37728,4.66
4/1/1989,23.6,32.9,1.93,10.09194444,19.1808,4.9
5/1/1989,23,31.4,1.45,10.04944444,18.2304,4.33
6/1/1989,22.2,29.7,1.32,9.708888889,15.25824,3.63
7/1/1989,21.5,28.5,1.54,8.501944444,11.64672,3.1
8/1/1989,21.3,28.4,1.69,7.781111111,11.00736,3.09
9/1/1989,21.4,29.2,1.34,8.146111111,11.71584,3.13
10/1/1989,21.7,30.3,1.12,9.455,16.1136,3.74
11/1/1989,22.6,33.2,1.07,10.07055556,18.45504,4.26
12/1/1989,21.8,32.8,1.1,10.13138889,16.07904,3.82
1/1/1990,22.8,32.7,1.37,9.749722222,16.21728,3.98
2/1/1990,22.6,34.4,1.48,9.976111111,18.9648,4.72
3/1/1990,23.8,36,1.56,10.08527778,22.35168,5.57
4/1/1990,23.3,33,1.97,9.994444444,18.0576,4.78
5/1/1990,23,31.6,1.58,9.859722222,16.7184,4.19
6/1/1990,22.4,30.6,1.56,9.27,14.6016,3.74
7/1/1990,21.8,27.9,1.97,7.773333333,10.35936,2.99
8/1/1990,21.7,28.1,1.51,7.543888889,10.6272,2.9
9/1/1990,21.6,29.4,1.33,8.435833333,12.33792,3.22
10/1/1990,22.4,30.5,1.11,9.161666667,15.7248,3.69
11/1/1990,23.4,32.4,1.19,9.604722222,15.99264,3.87
12/1/1990,22.6,32.4,1.23,9.489722222,14.02272,3.57
1/1/1991,22.1,32.4,1.35,9.760833333,16.30368,3.97
